UC Campus,CC,Requirement group ID,Set ID,Num required from set,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Southwestern College,A,A,1,MATH 1A - Calculus,MATH 250 - Analytic Geometry and Calculus I,,,
University of California Berkeley,Southwestern College,A,A,1,MATH 1B - Calculus,MATH 251 - Analytic Geometry and Calculus II,,,
University of California Berkeley,Southwestern College,A,A,1,MATH 53 - Multivariable Calculus,MATH 252 - Analytic Geometry and Calculus III,,,
University of California Berkeley,Southwestern College,A,A,1,MATH 54 - Linear Algebra and Differential Equations,MATH 253 - Introduction to Differential Equations & MATH 254 - Introduction to Linear Algebra,,,
University of California Berkeley,Southwestern College,A,A,1,PHYSICS 7A - Physics for Scientists and Engineers,PHYS 270 - Principles of Physics I & PHYS 271 - Principles of Physics Laboratory I,,,
University of California Berkeley,Southwestern College,A,A,1,PHYSICS 7B - Physics for Scientists and Engineers,PHYS 272 - Principles of Physics II & PHYS 273 - Principles of Physics Laboratory II,,,
University of California Berkeley,Southwestern College,A,A,1,ENGLISH R1A - Reading and Composition,ENGL 115 - College Composition: Reading and Writing Analytically,,,
University of California Berkeley,Southwestern College,A,A,1,ENGLISH R1B - Reading and Composition,ENGL 116 - Critical Thinking and Argument,,,
University of California Berkeley,Southwestern College,A,A,1,ASTRON 7A - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,ASTRON 7B - Introduction to Astrophysics,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,"BIOLOGY 1A - General Biology Lecture (Cells, Genetics, Animal Form & Function) & BIOLOGY 1AL - General Biology Laboratory",BIOL 210 - General Zoology & BIOL 211 - Introduction to Cell and Molecular Biology,,,
University of California Berkeley,Southwestern College,A,A,1,"BIOLOGY 1B - General Biology (Plant Form & Function, Ecology, Evolution)",BIOL 211 - Introduction to Cell and Molecular Biology & BIOL 212 - Biology of Plants,,,
University of California Berkeley,Southwestern College,A,A,1,CHEM 1A - General Chemistry & CHEM 1AL - General Chemistry Laboratory & CHEM 1B - General Chemistry,CHEM 200 - General Chemistry I & CHEM 210 - General Chemistry II,,,
University of California Berkeley,Southwestern College,A,A,1,CHEM 3A - Chemical Structure and Reactivity & CHEM 3AL - Organic Chemistry Laboratory,CHEM 240 - Organic Chemistry I,,,
University of California Berkeley,Southwestern College,A,A,1,CHEM 3B - Chemical Structure and Reactivity & CHEM 3BL - Organic Chemistry Laboratory,CHEM 242 - Organic Chemistry II,,,
University of California Berkeley,Southwestern College,A,A,1,MCELLBI 32 - Introduction to Human Physiology & MCELLBI 32L - Introduction to Human Physiology Laboratory,BIOL 261 - Principles of Human Physiology,,,
University of California Berkeley,Southwestern College,A,A,1,PHYSICS 7C - Physics for Scientists and Engineers,PHYS 274 - Principles of Physics III & PHYS 275 - Modern Physics and Principles of Physics Laboratory III,,,
University of California Berkeley,Southwestern College,A,A,1,COMPSCI 61A - The Structure and Interpretation of Computer Programs,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,COMPSCI 61B - Data Structures,MATH 130 - Introduction to Computer Programming & MATH 140 - Data Structures and Algorithms,,,
University of California Berkeley,Southwestern College,A,A,1,COMPSCI 61C - Machine Structures,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,COMPSCI 70 - Discrete Mathematics and Probability Theory,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,EECS 16A - Designing Information Devices and Systems I,Not Articulated,,,
University of California Berkeley,Southwestern College,A,A,1,EECS 16B - Designing Information Devices and Systems II,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,ECS 020 - Discrete Mathematics For Computer Science,MATH 260 - Discrete Mathematics,MATH 265 - Discrete Structures,,
University of California Davis,Southwestern College,A,A,1,ECS 036A - Programming & Problem Solving,CIS 115 - Introduction to Programming Using C++,MATH 130 - Introduction to Computer Programming,,
University of California Davis,Southwestern College,A,A,1,ECS 036B - Software Development & Object-Oriented Programming in C++,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,"ECS 036C - Data Structures, Algorithms, & Programming",Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,ECS 050 - Computer Organization & Machine-Dependent Programming,MATH 230 - Computer Organization and Architecture,,,
University of California Davis,Southwestern College,A,A,1,MAT 021A - Calculus,MATH 250 - Analytic Geometry and Calculus I,,,
University of California Davis,Southwestern College,A,A,1,MAT 021B - Calculus,MATH 251 - Analytic Geometry and Calculus II,,,
University of California Davis,Southwestern College,A,A,1,MAT 021C - Calculus,MATH 252 - Analytic Geometry and Calculus III,,,
University of California Davis,Southwestern College,A,A,1,MAT 022A - Linear Algebra,MATH 254 - Introduction to Linear Algebra,,,
University of California Davis,Southwestern College,A,A,1,MAT 027A - Linear Algebra with Applications to Biology,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,MAT 067 - Modern Linear Algebra,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,BIS 002A - Introduction to Biology: Essentials of Life on Earth,BIOL 211 - Introduction to Cell and Molecular Biology,,,
University of California Davis,Southwestern College,A,A,1,BIS 002B - Introduction to Biology: Principles of Ecology & Evolution,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,BIS 002C - Introduction to Biology: Biodiversity & the Tree of Life,BIOL 210 - General Zoology & BIOL 212 - Biology of Plants,,,
University of California Davis,Southwestern College,A,A,1,CHE 002A - General Chemistry & CHE 002B - General Chemistry & CHE 002C - General Chemistry,CHEM 200 - General Chemistry I & CHEM 210 - General Chemistry II,,,
University of California Davis,Southwestern College,A,A,1,CHE 004A - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,CHE 004B - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,CHE 004C - General Chemistry for the Physical Sciences & Engineering,Not Articulated,,,
University of California Davis,Southwestern College,A,A,1,PHY 009A - Classical Physics,PHYS 270 - Principles of Physics I & PHYS 271 - Principles of Physics Laboratory I,,,
University of California Davis,Southwestern College,A,A,1,PHY 009B - Classical Physics,PHYS 274 - Principles of Physics III,,,
University of California Davis,Southwestern College,A,A,1,PHY 009C - Classical Physics,PHYS 272 - Principles of Physics II,,,
University of California Irvine,Southwestern College,A,A,1,I&C SCI 31 - Introduction to Programming & I&C SCI 32 - Programming with Software Libraries & I&C SCI 33 - Intermediate Programming,CIS 106 - Introduction to Programming Logic and Design using Python,,,
University of California Irvine,Southwestern College,A,A,1,MATH 2A - Single-Variable Calculus,MATH 121 - Applied Calculus I & MATH 122 - Applied Calculus II,MATH 250 - Analytic Geometry and Calculus I,,
University of California Irvine,Southwestern College,A,A,1,MATH 2B - Single-Variable Calculus,MATH 251 - Analytic Geometry and Calculus II,,,
University of California Irvine,Southwestern College,A,A,1,MATH 3A - Introduction to Linear Algebra,MATH 254 - Introduction to Linear Algebra,,,
University of California Irvine,Southwestern College,A,A,1,I&C SCI 6N - Computational Linear Algebra,Not Articulated,,,
