UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Vista Community College,MATH 1A,MATH 3A,,,
University of California Berkeley,Vista Community College,MATH 1B,MATH 3B,,,
University of California Berkeley,Vista Community College,MATH 53,MATH 3C,,,
University of California Berkeley,Vista Community College,MATH 54,MATH 3E; MATH 3F,,,
University of California Berkeley,Vista Community College,PHYSICS 7A,PHYS 4A,,,
University of California Berkeley,Vista Community College,PHYSICS 7B,PHYS 4B,,,
University of California Berkeley,Vista Community College,ENGLISH R1A,ENGL 1A,,,
University of California Berkeley,Vista Community College,ENGLISH R1B,ENGL 1B,,,
University of California Berkeley,Vista Community College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Vista Community College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Vista Community College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1A,,,
University of California Berkeley,Vista Community College,BIOLOGY 1B,BIOL 1B,,,
University of California Berkeley,Vista Community College,CHEM 1A; CHEM 1AL,CHEM 1A,,,
University of California Berkeley,Vista Community College,CHEM 1B,CHEM 1B,,,
University of California Berkeley,Vista Community College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 12A; CHEM 12B,,,
University of California Berkeley,Vista Community College,MCELLBI 32; MCELLBI 32L,BIOL 4,,,
University of California Berkeley,Vista Community College,PHYSICS 7C,PHYS 4C,,,
University of California Berkeley,Vista Community College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Vista Community College,COMPSCI 61B,CIS 25; CIS 27,,,
University of California Berkeley,Vista Community College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Vista Community College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Vista Community College,EECS 16A,Not Articulated,,,
University of California Berkeley,Vista Community College,EECS 16B,Not Articulated,,,
University of California Davis,Vista Community College,ECS 020,Not Articulated,,,
University of California Davis,Vista Community College,ECS 036A,CIS 6,,,
University of California Davis,Vista Community College,ECS 036B,CIS 25,CIS 36A,CIS 36B,
University of California Davis,Vista Community College,ECS 036C,CIS 27,,,
University of California Davis,Vista Community College,ECS 050,CIS 20,,,
University of California Davis,Vista Community College,MAT 021A,MATH 3A,,,
University of California Davis,Vista Community College,MAT 021B,MATH 3A; MATH 3B,,,
University of California Davis,Vista Community College,MAT 021C,MATH 3B; MATH 3C,,,
University of California Davis,Vista Community College,MAT 022A,MATH 3E,,,
University of California Davis,Vista Community College,MAT 027A,Not Articulated,,,
