Receiving Courses,Sending Courses
CSE 8A - Introduction to Programming and Computational Problem Solving I,CIS 22A - Beginning Programming Methodologies in C++ | CIS 36A - Introduction to Computer Programming Using Java | CIS 40 - Introduction to Programming in Python
CSE 8B - Introduction to Programming and Computational Problem Solving II,CIS 36B - Intermediate Problem Solving in Java
CSE 11 - Introduction to Programming and Computational Problem Solving - Accelerated Pace,CIS 35A - Java Programming | CIS 36A - Introduction to Computer Programming Using Java | CIS 36B - Intermediate Problem Solving in Java
CSE 12 - Basic Data Structures and Object-Oriented Design,CIS 22C - Data Abstraction and Structures | CIS 22CH - Data Abstraction and Structures - HONORS
CSE 15L - Software Tools and Techniques Laboratory,
CSE 20 - Discrete Mathematics,MATH 22 - Discrete Mathematics | MATH 22H - Discrete Mathematics - HONORS
CSE 21 - Mathematics for Algorithms and Systems,
CSE 30 - Computer Organization and Systems Programming,CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture | CIS 21JB - Advanced x86 Processor Assembly Programming | CIS 26B - Advanced C Programming | CIS 21JA - Introduction to x86 Processor Assembly Language and Computer Architecture | CIS 21JB - Advanced x86 Processor Assembly Programming | CIS 26BH - Advanced C Programming - HONORS
MATH 18 - Linear Algebra,MATH 2B - Linear Algebra | MATH 2BH - Linear Algebra - HONORS
MATH 20A - Calculus for Science and Engineering,MATH 1A - Calculus | MATH 1AH - Calculus - HONORS
MATH 20B - Calculus for Science and Engineering,MATH 1B - Calculus | MATH 1BH - Calculus - HONORS
MATH 20C - Calculus and Analytic Geometry for Science and Engineering,MATH 1C - Calculus | MATH 1D - Calculus | MATH 1CH - Calculus - HONORS | MATH 1DH - Calculus - HONORS
BILD 1 - The Cell,BIOL 6A - Form and Function in the Biological World | BIOL 6B - Cell and Molecular Biology | BIOL 6C - Ecology and Evolution | BIOL 6AH - Form and Function in the Biological World - HONORS | BIOL 6B - Cell and Molecular Biology | BIOL 6CH - Ecology and Evolution - HONORS
BILD 2 - Multicellular Life,BIOL 6A - Form and Function in the Biological World | BIOL 6B - Cell and Molecular Biology | BIOL 6C - Ecology and Evolution | BIOL 6AH - Form and Function in the Biological World - HONORS | BIOL 6B - Cell and Molecular Biology | BIOL 6CH - Ecology and Evolution - HONORS
BILD 3 - Organismic and Evolutionary Biology,BIOL 6A - Form and Function in the Biological World | BIOL 6B - Cell and Molecular Biology | BIOL 6C - Ecology and Evolution | BIOL 6AH - Form and Function in the Biological World - HONORS | BIOL 6B - Cell and Molecular Biology | BIOL 6CH - Ecology and Evolution - HONORS
CHEM 6A - General Chemistry I,CHEM 1A - General Chemistry | CHEM 1AH - General Chemistry - HONORS
CHEM 6B - General Chemistry II,CHEM 1B - General Chemistry | CHEM 1BH - General Chemistry - HONORS
PHYS 2A - Physics - Mechanics,PHYS 4A - Physics for Scientists and Engineers: Mechanics
PHYS 2B - Physics - Electricity and Magnetism,PHYS 4B - Physics for Scientists and Engineers: Electricity and Magnetism
