UC Name,Receiving #1,Sending #1,Sending #2,Sending #3,Sending #4,Sending #5,Sending #6
"University of California, San Diego",CS 150 - Introduction to Computer Programming,CS 111 - Introduction to Computer Science I: Java,CS 150 - C++ Programming,,,,
"University of California, San Diego",CS 150L - Introductory Computer Programming Laboratory,Not Articulated,,,,,
"University of California, San Diego",CS 160 - Intermediate Computer Programming,CS 113 - Basic Data Structures and Algorithms,,,,,
"University of California, San Diego",CS 160L - Intermediate Computer Programming Laboratory,Not Articulated,,,,,
"University of California, San Diego",CS 210 - Data Structures,Not Articulated,,,,,
"University of California, San Diego",CS 240 - Computer Organization,CS 220 - Computer Architecture and Assembly Language,,,,,
"University of California, San Diego",CS 250 - Introduction to Software Systems,Not Articulated,,,,,
"University of California, San Diego",MATH 150 - Calculus I,MATH 150 - Calculus and Analytic Geometry I,MATH 150H - Calculus and Analytic Geometry I (Honors),,,,
"University of California, San Diego",MATH 151 - Calculus II,MATH 155 - Calculus and Analytic Geometry II,MATH 155H - Calculus and Analytical Geometry II (Honors),,,,
"University of California, San Diego",MATH 245 - Discrete Mathematics,MATH 226 - Discrete Mathematics,MATH 226H - Discrete Mathematics (Honors),CS 226 - Discrete Structures,,,
"University of California, San Diego",MATH 254 - Introduction to Linear Algebra,MATH 270 - Linear Algebra,MATH 270H - Linear Algebra (Honors),,,,
"University of California, San Diego",STAT 250 - Statistical Principles and Practices,BTEC 180 - Biostatistics,BUS 204 - Business Statistics,BUS 204H - Business Statistics (Honors),PSYC 104 - Statistics for Behavioral Science,PSYC 104H - Statistics for Behavioral Science (Honors),SOC 125 - Introduction to Statistics in Sociology
"University of California, San Diego",PHYS 195 - Principles of Physics; PHYS 195L - Principles of Physics Laboratory,PHYS 151 - Principles of Physics I,PHYS 151H - Principles of Physics I (Honors),,,,
"University of California, San Diego",PHYS 196 - Principles of Physics; PHYS 196L - Principles of Physics Laboratory,PHYS 152 - Principles of Physics II,PHYS 152H - Principles of Physics II (Honors),,,,
